1,PropertyID,Street,City   ,ZipCode,Legal,SEV,Status,Closing date
50,22021816,12791 APPOLINE,DETROIT,48227,"W APPOLINE 114 JOHN M WELCHS MAYVIEW SUB L32 P59 PLATS, W C R 22/67 35 X 115","$4,800 ",Active, 10-23-018 9:15:00 AM
51,22021934,9151 APPOLINE,DETROIT,48228,"W APPOLINE 463 B E TAYLORS QUEENSBORO SUB L35 P26 PLATS, W C R 22/562 35 X 129.50","$6,000 ",Active, 10-23-018 9:15:00 AM
52,22022911,15409 STEEL,DETROIT,48227,"W STEEL 576 COLLEGE CREST SUB NO 2 L58 P65 PLATS, W C R 22/335 36 X 105.65A",$400 ,Active, 10-23-018 9:15:00 AM
53,22024161,15039 SORRENTO,DETROIT,48227,"W SORRENTO 93 MEYERS GROVE SUB L50 P21 PLATS, W C R 22/145 36 X 124","$12,100 ",Active, 10-23-018 9:15:00 AM
54,22024652,11676 WARD,DETROIT,48227,"E WARD 77 FRANK B WALLACE GRAND RIVER VILLAS SUB L34 P22 PLATS, W C R 22/133 40 X 122.08A","$4,800 ",Active, 10-23-018 9:15:00 AM
55,22024730,13254 WARD,DETROIT,48227,"E WARD N 54.91 FT ON W LINE BG N 28.94 FT ON E LINE OF W 112 FT 4 LYG E & ADJ WARD AVE PLAT OF BOUSSNEUR EST SUB L927 P553 DEEDS, W C R 22/673 54.91 IRREG","$7,600 ",Active, 10-23-018 9:15:00 AM
56,22024799,15010 WARD,DETROIT,48227,"E WARD 53 MEYERS GROVE SUB L50 P21 PLATS, W C R 22/145 36 X 124","$8,500 ",Active, 10-23-018 9:15:00 AM
57,22025181,15425 WARD,DETROIT,48227,"W WARD 299 COLLEGE CREST SUB NO 1 L50 P13 PLATS, W C R 22/146 36 X 119.98A","$12,400 ",Active, 10-23-018 9:15:00 AM
58,22025348,12305 WARD,DETROIT,48227,"W WARD S 20 FT 336 N 20 FT 335 MONNIER HEIGHTS THOS W WARDS SUB L29 P16 PLATS, W C R 22/583 40 X 140.72A","$7,500 ",Active, 10-23-018 9:15:00 AM
59,22025386,11671 WARD,DETROIT,48227,"W WARD N 37.5 FT 302 MONNIER HEIGHTS THOS W WARDS SUB L29 P16 PLATS, W C R 22/583 37.5 X 142.12A","$9,100 ",Active, 10-23-018 9:15:00 AM
60,22025482,9161 WARD,DETROIT,48228,"W WARD 409 ROBERT OAKMAN LAND COS MC FARLANE SUB L53 P54 PLATS, W C R 22/561 35 X 120","$11,900 ",Active, 10-23-018 9:15:00 AM
61,22025673,11396 CHEYENNE,DETROIT,48227,"E CHEYENNE 386 BUCKINGHAM PARK SUB L34 P20 PLATS, W C R 22/572 40 X 125","$3,600 ",Active, 10-23-018 9:15:00 AM
62,22025717,12272 CHEYENNE,DETROIT,48227,"E CHEYENNE 259&258 MONNIER HEIGHTS THOS W WARDS SUB L29 P16 PLATS, W C R 22/583 100 X 125","$8,800 ",Active, 10-23-018 9:15:00 AM
63,22026140,15061 CHEYENNE,DETROIT,48227,"W CHEYENNE 69 AND E 8 FT OF VAC ALLEY ADJ SCHMIDT ESTATE SUB L47 P57 PLATS, W C R 22/138 35 X 116","$6,500 ",Active, 10-23-018 9:15:00 AM
64,22026637,12022 LITTLEFIELD,DETROIT,48227,"E LITTLEFIELD 193 MONNIER HTS THOS W WARDS SUB L29 P16 PLATS, W C R 22/583 50 X 125","$6,000 ",Active, 10-23-018 9:15:00 AM
65,22026733,14610 LITTLEFIELD,DETROIT,48227,"E LITTLEFIELD 127 S 16 FT OF 128 & W 8 FT VAC ALLEY ADJ VIGNOE PARK SUB L40 P59 PLATS, W C R 22/98 51 X 116","$6,800 ",Active, 10-23-018 9:15:00 AM
66,22027462,11677 LITTLEFIELD,DETROIT,48227,"W LITTLEFIELD S 37.5 FT 135 MONNIER HEIGHTS THOS W WARDS SUB L29 P16 PLATS, W C R 22/583 37.5 X 125","$1,400 ",Active, 10-23-018 9:15:00 AM
67,22028395,8828 HARTWELL,DETROIT,48228,"E HARTWELL 100 ROBERT OAKMAN LAND COS MC FARLANE SUB L53 P54 PLATS, W C R 22/561 41.51 IRREG",$600 ,Active, 10-23-018 9:15:00 AM
